group,intensity,exp_index,exp_id,exp_folder,node,component,total_energy_J,avg_power_W
with-plugin,low,7,with-plugin_low_7,exp(03:00:08)_fase3_low_iter7,nitro5,nic,0.83,0.01
with-plugin,low,7,with-plugin_low_7,exp(03:00:08)_fase3_low_iter7,nitro5,ram,20.72,0.15
with-plugin,low,7,with-plugin_low_7,exp(03:00:08)_fase3_low_iter7,nitro5,sd,8.81,0.06
with-plugin,low,7,with-plugin_low_7,exp(03:00:08)_fase3_low_iter7,scorpius,cpu,79.72,0.78
with-plugin,low,7,with-plugin_low_7,exp(03:00:08)_fase3_low_iter7,scorpius,nic,0.27,0.0
with-plugin,low,7,with-plugin_low_7,exp(03:00:08)_fase3_low_iter7,scorpius,ram,98.47,0.73
with-plugin,low,7,with-plugin_low_7,exp(03:00:08)_fase3_low_iter7,scorpius,sd,0.02,0.0
with-plugin,low,8,with-plugin_low_8,exp(03:06:30)_fase3_low_iter8,aspire,cpu,57.91,0.57
with-plugin,low,8,with-plugin_low_8,exp(03:06:30)_fase3_low_iter8,aspire,nic,0.22,0.0
with-plugin,low,8,with-plugin_low_8,exp(03:06:30)_fase3_low_iter8,aspire,ram,36.44,0.27
with-plugin,low,8,with-plugin_low_8,exp(03:06:30)_fase3_low_iter8,aspire,sd,153.3,1.1
with-plugin,low,8,with-plugin_low_8,exp(03:06:30)_fase3_low_iter8,leo,cpu,74.13,0.7
with-plugin,low,8,with-plugin_low_8,exp(03:06:30)_fase3_low_iter8,leo,nic,0.15,0.0
with-plugin,low,8,with-plugin_low_8,exp(03:06:30)_fase3_low_iter8,leo,ram,22.64,0.17
with-plugin,low,8,with-plugin_low_8,exp(03:06:30)_fase3_low_iter8,leo,sd,0.0,0.0
with-plugin,low,8,with-plugin_low_8,exp(03:06:30)_fase3_low_iter8,nitro5,cpu,37.47,0.33
with-plugin,low,8,with-plugin_low_8,exp(03:06:30)_fase3_low_iter8,nitro5,nic,0.44,0.0
with-plugin,low,8,with-plugin_low_8,exp(03:06:30)_fase3_low_iter8,nitro5,ram,20.68,0.15
with-plugin,low,8,with-plugin_low_8,exp(03:06:30)_fase3_low_iter8,nitro5,sd,9.16,0.07
with-plugin,low,8,with-plugin_low_8,exp(03:06:30)_fase3_low_iter8,scorpius,cpu,178.03,2.02
with-plugin,low,8,with-plugin_low_8,exp(03:06:30)_fase3_low_iter8,scorpius,nic,0.28,0.0
with-plugin,low,8,with-plugin_low_8,exp(03:06:30)_fase3_low_iter8,scorpius,ram,227.21,1.72
with-plugin,low,8,with-plugin_low_8,exp(03:06:30)_fase3_low_iter8,scorpius,sd,0.0,0.0
with-plugin,low,9,with-plugin_low_9,exp(03:13:02)_fase3_low_iter9,aspire,cpu,169.56,1.7
with-plugin,low,9,with-plugin_low_9,exp(03:13:02)_fase3_low_iter9,aspire,nic,0.29,0.0
with-plugin,low,9,with-plugin_low_9,exp(03:13:02)_fase3_low_iter9,aspire,ram,149.61,1.12
with-plugin,low,9,with-plugin_low_9,exp(03:13:02)_fase3_low_iter9,aspire,sd,10.87,0.08
with-plugin,low,9,with-plugin_low_9,exp(03:13:02)_fase3_low_iter9,leo,cpu,71.83,0.69
with-plugin,low,9,with-plugin_low_9,exp(03:13:02)_fase3_low_iter9,leo,nic,0.22,0.0
with-plugin,low,9,with-plugin_low_9,exp(03:13:02)_fase3_low_iter9,leo,ram,20.66,0.15
with-plugin,low,9,with-plugin_low_9,exp(03:13:02)_fase3_low_iter9,leo,sd,0.0,0.0
with-plugin,low,9,with-plugin_low_9,exp(03:13:02)_fase3_low_iter9,nitro5,cpu,39.65,0.34
with-plugin,low,9,with-plugin_low_9,exp(03:13:02)_fase3_low_iter9,nitro5,nic,0.7,0.01
with-plugin,low,9,with-plugin_low_9,exp(03:13:02)_fase3_low_iter9,nitro5,ram,20.68,0.15
with-plugin,low,9,with-plugin_low_9,exp(03:13:02)_fase3_low_iter9,nitro5,sd,10.04,0.07
with-plugin,low,9,with-plugin_low_9,exp(03:13:02)_fase3_low_iter9,scorpius,cpu,74.71,0.73
with-plugin,low,9,with-plugin_low_9,exp(03:13:02)_fase3_low_iter9,scorpius,nic,0.23,0.0
with-plugin,low,9,with-plugin_low_9,exp(03:13:02)_fase3_low_iter9,scorpius,ram,81.94,0.61
with-plugin,low,9,with-plugin_low_9,exp(03:13:02)_fase3_low_iter9,scorpius,sd,0.01,0.0
with-plugin,low,10,with-plugin_low_10,exp(03:19:30)_fase3_low_iter10,aspire,cpu,77.11,0.75
with-plugin,low,10,with-plugin_low_10,exp(03:19:30)_fase3_low_iter10,aspire,nic,1.05,0.01
with-plugin,low,10,with-plugin_low_10,exp(03:19:30)_fase3_low_iter10,aspire,ram,49.94,0.37
with-plugin,low,10,with-plugin_low_10,exp(03:19:30)_fase3_low_iter10,aspire,sd,340.06,2.45
with-plugin,low,10,with-plugin_low_10,exp(03:19:30)_fase3_low_iter10,leo,cpu,300.93,2.87
with-plugin,low,10,with-plugin_low_10,exp(03:19:30)_fase3_low_iter10,leo,nic,0.19,0.0
with-plugin,low,10,with-plugin_low_10,exp(03:19:30)_fase3_low_iter10,leo,ram,115.18,0.85
with-plugin,low,10,with-plugin_low_10,exp(03:19:30)_fase3_low_iter10,leo,sd,0.0,0.0
with-plugin,low,10,with-plugin_low_10,exp(03:19:30)_fase3_low_iter10,nitro5,cpu,40.21,0.35
with-plugin,low,10,with-plugin_low_10,exp(03:19:30)_fase3_low_iter10,nitro5,nic,1.56,0.01
with-plugin,low,10,with-plugin_low_10,exp(03:19:30)_fase3_low_iter10,nitro5,ram,20.83,0.15
with-plugin,low,10,with-plugin_low_10,exp(03:19:30)_fase3_low_iter10,nitro5,sd,9.15,0.07
with-plugin,low,10,with-plugin_low_10,exp(03:19:30)_fase3_low_iter10,scorpius,cpu,92.73,0.94
with-plugin,low,10,with-plugin_low_10,exp(03:19:30)_fase3_low_iter10,scorpius,nic,0.26,0.0
with-plugin,low,10,with-plugin_low_10,exp(03:19:30)_fase3_low_iter10,scorpius,ram,106.75,0.79
with-plugin,low,10,with-plugin_low_10,exp(03:19:30)_fase3_low_iter10,scorpius,sd,0.0,0.0
with-plugin,low,11,with-plugin_low_11,exp(03:26:26)_fase3_low_iter11,aspire,cpu,172.87,1.76
with-plugin,low,11,with-plugin_low_11,exp(03:26:26)_fase3_low_iter11,aspire,nic,0.2,0.0
with-plugin,low,11,with-plugin_low_11,exp(03:26:26)_fase3_low_iter11,aspire,ram,174.95,1.31
with-plugin,low,11,with-plugin_low_11,exp(03:26:26)_fase3_low_iter11,aspire,sd,9.29,0.07
with-plugin,low,11,with-plugin_low_11,exp(03:26:26)_fase3_low_iter11,leo,cpu,119.16,1.12
with-plugin,low,11,with-plugin_low_11,exp(03:26:26)_fase3_low_iter11,leo,nic,0.15,0.0
with-plugin,low,11,with-plugin_low_11,exp(03:26:26)_fase3_low_iter11,leo,ram,31.2,0.23
with-plugin,low,11,with-plugin_low_11,exp(03:26:26)_fase3_low_iter11,leo,sd,0.02,0.0
with-plugin,low,11,with-plugin_low_11,exp(03:26:26)_fase3_low_iter11,nitro5,cpu,36.76,0.32
with-plugin,low,11,with-plugin_low_11,exp(03:26:26)_fase3_low_iter11,nitro5,nic,1.55,0.01
with-plugin,low,11,with-plugin_low_11,exp(03:26:26)_fase3_low_iter11,nitro5,ram,20.74,0.15
with-plugin,low,11,with-plugin_low_11,exp(03:26:26)_fase3_low_iter11,nitro5,sd,9.51,0.07
with-plugin,low,11,with-plugin_low_11,exp(03:26:26)_fase3_low_iter11,scorpius,cpu,63.59,0.63
with-plugin,low,11,with-plugin_low_11,exp(03:26:26)_fase3_low_iter11,scorpius,nic,0.16,0.0
with-plugin,low,11,with-plugin_low_11,exp(03:26:26)_fase3_low_iter11,scorpius,ram,70.74,0.52
with-plugin,low,11,with-plugin_low_11,exp(03:26:26)_fase3_low_iter11,scorpius,sd,0.0,0.0
with-plugin,low,12,with-plugin_low_12,exp(03:32:37)_fase3_low_iter12,aspire,cpu,55.27,0.53
with-plugin,low,12,with-plugin_low_12,exp(03:32:37)_fase3_low_iter12,aspire,nic,0.27,0.0
with-plugin,low,12,with-plugin_low_12,exp(03:32:37)_fase3_low_iter12,aspire,ram,36.19,0.27
with-plugin,low,12,with-plugin_low_12,exp(03:32:37)_fase3_low_iter12,aspire,sd,154.2,1.1
with-plugin,low,12,with-plugin_low_12,exp(03:32:37)_fase3_low_iter12,leo,cpu,61.01,0.6
with-plugin,low,12,with-plugin_low_12,exp(03:32:37)_fase3_low_iter12,leo,nic,0.12,0.0
with-plugin,low,12,with-plugin_low_12,exp(03:32:37)_fase3_low_iter12,leo,ram,18.49,0.14
with-plugin,low,12,with-plugin_low_12,exp(03:32:37)_fase3_low_iter12,leo,sd,0.0,0.0
with-plugin,low,12,with-plugin_low_12,exp(03:32:37)_fase3_low_iter12,nitro5,cpu,39.14,0.34
with-plugin,low,12,with-plugin_low_12,exp(03:32:37)_fase3_low_iter12,nitro5,nic,0.38,0.0
with-plugin,low,12,with-plugin_low_12,exp(03:32:37)_fase3_low_iter12,nitro5,ram,20.8,0.15
with-plugin,low,12,with-plugin_low_12,exp(03:32:37)_fase3_low_iter12,nitro5,sd,0.0,0.0
with-plugin,low,12,with-plugin_low_12,exp(03:32:37)_fase3_low_iter12,scorpius,cpu,166.27,1.83
with-plugin,low,12,with-plugin_low_12,exp(03:32:37)_fase3_low_iter12,scorpius,nic,0.2,0.0
with-plugin,low,12,with-plugin_low_12,exp(03:32:37)_fase3_low_iter12,scorpius,ram,216.74,1.62
with-plugin,low,12,with-plugin_low_12,exp(03:32:37)_fase3_low_iter12,scorpius,sd,0.0,0.0
with-plugin,low,13,with-plugin_low_13,exp(03:39:11)_fase3_low_iter13,aspire,cpu,172.91,1.71
with-plugin,low,13,with-plugin_low_13,exp(03:39:11)_fase3_low_iter13,aspire,nic,0.11,0.0
with-plugin,low,13,with-plugin_low_13,exp(03:39:11)_fase3_low_iter13,aspire,ram,141.92,1.06
with-plugin,low,13,with-plugin_low_13,exp(03:39:11)_fase3_low_iter13,aspire,sd,10.64,0.08
with-plugin,low,13,with-plugin_low_13,exp(03:39:11)_fase3_low_iter13,leo,cpu,70.09,0.69
with-plugin,low,13,with-plugin_low_13,exp(03:39:11)_fase3_low_iter13,leo,nic,0.23,0.0
with-plugin,low,13,with-plugin_low_13,exp(03:39:11)_fase3_low_iter13,leo,ram,21.39,0.16
with-plugin,low,13,with-plugin_low_13,exp(03:39:11)_fase3_low_iter13,leo,sd,0.0,0.0
with-plugin,low,13,with-plugin_low_13,exp(03:39:11)_fase3_low_iter13,nitro5,cpu,36.67,0.32
with-plugin,low,13,with-plugin_low_13,exp(03:39:11)_fase3_low_iter13,nitro5,nic,0.38,0.0
with-plugin,low,13,with-plugin_low_13,exp(03:39:11)_fase3_low_iter13,nitro5,ram,20.43,0.15
with-plugin,low,13,with-plugin_low_13,exp(03:39:11)_fase3_low_iter13,nitro5,sd,8.65,0.06
with-plugin,low,13,with-plugin_low_13,exp(03:39:11)_fase3_low_iter13,scorpius,cpu,83.65,0.81
with-plugin,low,13,with-plugin_low_13,exp(03:39:11)_fase3_low_iter13,scorpius,nic,0.38,0.0
with-plugin,low,13,with-plugin_low_13,exp(03:39:11)_fase3_low_iter13,scorpius,ram,95.81,0.71
with-plugin,low,13,with-plugin_low_13,exp(03:39:11)_fase3_low_iter13,scorpius,sd,0.01,0.0
with-plugin,low,14,with-plugin_low_14,exp(03:45:34)_fase3_low_iter14,aspire,cpu,64.87,0.63
with-plugin,low,14,with-plugin_low_14,exp(03:45:34)_fase3_low_iter14,aspire,nic,1.2,0.01
with-plugin,low,14,with-plugin_low_14,exp(03:45:34)_fase3_low_iter14,aspire,ram,39.17,0.29
with-plugin,low,14,with-plugin_low_14,exp(03:45:34)_fase3_low_iter14,aspire,sd,173.86,1.24
with-plugin,low,14,with-plugin_low_14,exp(03:45:34)_fase3_low_iter14,leo,cpu,83.33,0.79
with-plugin,low,14,with-plugin_low_14,exp(03:45:34)_fase3_low_iter14,leo,nic,0.26,0.0
with-plugin,low,14,with-plugin_low_14,exp(03:45:34)_fase3_low_iter14,leo,ram,23.79,0.18
with-plugin,low,14,with-plugin_low_14,exp(03:45:34)_fase3_low_iter14,leo,sd,0.0,0.0
with-plugin,low,14,with-plugin_low_14,exp(03:45:34)_fase3_low_iter14,nitro5,cpu,38.84,0.34
with-plugin,low,14,with-plugin_low_14,exp(03:45:34)_fase3_low_iter14,nitro5,nic,1.73,0.01
with-plugin,low,14,with-plugin_low_14,exp(03:45:34)_fase3_low_iter14,nitro5,ram,20.48,0.15
with-plugin,low,14,with-plugin_low_14,exp(03:45:34)_fase3_low_iter14,nitro5,sd,8.96,0.06
with-plugin,low,14,with-plugin_low_14,exp(03:45:34)_fase3_low_iter14,scorpius,cpu,170.16,1.93
with-plugin,low,14,with-plugin_low_14,exp(03:45:34)_fase3_low_iter14,scorpius,nic,0.36,0.0
with-plugin,low,14,with-plugin_low_14,exp(03:45:34)_fase3_low_iter14,scorpius,ram,231.75,1.76
with-plugin,low,14,with-plugin_low_14,exp(03:45:34)_fase3_low_iter14,scorpius,sd,0.0,0.0
with-plugin,low,15,with-plugin_low_15,exp(03:52:20)_fase3_low_iter15,aspire,cpu,206.07,2.15
with-plugin,low,15,with-plugin_low_15,exp(03:52:20)_fase3_low_iter15,aspire,nic,0.25,0.0
with-plugin,low,15,with-plugin_low_15,exp(03:52:20)_fase3_low_iter15,aspire,ram,217.41,1.62
with-plugin,low,15,with-plugin_low_15,exp(03:52:20)_fase3_low_iter15,aspire,sd,14.64,0.1
with-plugin,low,15,with-plugin_low_15,exp(03:52:20)_fase3_low_iter15,leo,cpu,159.83,1.52
with-plugin,low,15,with-plugin_low_15,exp(03:52:20)_fase3_low_iter15,leo,nic,0.59,0.0
with-plugin,low,15,with-plugin_low_15,exp(03:52:20)_fase3_low_iter15,leo,ram,56.08,0.42
with-plugin,low,15,with-plugin_low_15,exp(03:52:20)_fase3_low_iter15,leo,sd,0.08,0.0
with-plugin,low,15,with-plugin_low_15,exp(03:52:20)_fase3_low_iter15,nitro5,cpu,39.21,0.34
with-plugin,low,15,with-plugin_low_15,exp(03:52:20)_fase3_low_iter15,nitro5,nic,1.27,0.01
with-plugin,low,15,with-plugin_low_15,exp(03:52:20)_fase3_low_iter15,nitro5,ram,21.12,0.15
with-plugin,low,15,with-plugin_low_15,exp(03:52:20)_fase3_low_iter15,nitro5,sd,9.51,0.07
with-plugin,low,15,with-plugin_low_15,exp(03:52:20)_fase3_low_iter15,scorpius,cpu,76.58,0.74
with-plugin,low,15,with-plugin_low_15,exp(03:52:20)_fase3_low_iter15,scorpius,nic,0.26,0.0
with-plugin,low,15,with-plugin_low_15,exp(03:52:20)_fase3_low_iter15,scorpius,ram,78.49,0.58
with-plugin,low,15,with-plugin_low_15,exp(03:52:20)_fase3_low_iter15,scorpius,sd,0.0,0.0
with-plugin,low,16,with-plugin_low_16,exp(03:58:57)_fase3_low_iter16,aspire,cpu,61.35,0.57
with-plugin,low,16,with-plugin_low_16,exp(03:58:57)_fase3_low_iter16,aspire,nic,0.22,0.0
with-plugin,low,16,with-plugin_low_16,exp(03:58:57)_fase3_low_iter16,aspire,ram,33.41,0.25
with-plugin,low,16,with-plugin_low_16,exp(03:58:57)_fase3_low_iter16,aspire,sd,117.82,0.85
with-plugin,low,16,with-plugin_low_16,exp(03:58:57)_fase3_low_iter16,leo,cpu,70.83,0.67
with-plugin,low,16,with-plugin_low_16,exp(03:58:57)_fase3_low_iter16,leo,nic,0.19,0.0
with-plugin,low,16,with-plugin_low_16,exp(03:58:57)_fase3_low_iter16,leo,ram,19.63,0.15
with-plugin,low,16,with-plugin_low_16,exp(03:58:57)_fase3_low_iter16,leo,sd,0.0,0.0
with-plugin,low,16,with-plugin_low_16,exp(03:58:57)_fase3_low_iter16,nitro5,cpu,40.33,0.35
