group,intensity,exp_index,exp_id,exp_folder,node,teastore_pods_total,teastore-webui,teastore-image,teastore-db,teastore-registry,teastore-auth,teastore-recommender,teastore-persistence,k8s_pods
without-plugin,high,15,without-plugin_high_15,exp(23:07:40)_fase3_high_iter9,aspire,4,1,0,1,1,1,0,0,3
without-plugin,high,15,without-plugin_high_15,exp(23:07:40)_fase3_high_iter9,leo,2,0,0,0,0,0,1,1,2
without-plugin,high,15,without-plugin_high_15,exp(23:07:40)_fase3_high_iter9,nitro5,0,0,0,0,0,0,0,0,6
without-plugin,high,15,without-plugin_high_15,exp(23:07:40)_fase3_high_iter9,scorpius,1,0,1,0,0,0,0,0,4
without-plugin,low,1,without-plugin_low_1,exp(01:26:36)_fase3_low_iter1,aspire,3,0,0,1,0,1,1,0,3
without-plugin,low,1,without-plugin_low_1,exp(01:26:36)_fase3_low_iter1,leo,2,0,1,0,0,0,0,1,2
without-plugin,low,1,without-plugin_low_1,exp(01:26:36)_fase3_low_iter1,nitro5,0,0,0,0,0,0,0,0,7
without-plugin,low,1,without-plugin_low_1,exp(01:26:36)_fase3_low_iter1,scorpius,2,1,0,0,1,0,0,0,3
without-plugin,low,2,without-plugin_low_2,exp(01:33:05)_fase3_low_iter2,aspire,4,1,0,0,1,1,1,0,2
without-plugin,low,2,without-plugin_low_2,exp(01:33:05)_fase3_low_iter2,leo,2,0,1,1,0,0,0,0,3
without-plugin,low,2,without-plugin_low_2,exp(01:33:05)_fase3_low_iter2,nitro5,0,0,0,0,0,0,0,0,8
without-plugin,low,2,without-plugin_low_2,exp(01:33:05)_fase3_low_iter2,scorpius,1,0,0,0,0,0,0,1,2
without-plugin,low,3,without-plugin_low_3,exp(01:57:40)_fase3_low_iter3,aspire,3,0,0,1,0,0,1,1,3
without-plugin,low,3,without-plugin_low_3,exp(01:57:40)_fase3_low_iter3,leo,2,1,0,0,0,1,0,0,2
without-plugin,low,3,without-plugin_low_3,exp(01:57:40)_fase3_low_iter3,nitro5,0,0,0,0,0,0,0,0,7
without-plugin,low,3,without-plugin_low_3,exp(01:57:40)_fase3_low_iter3,scorpius,2,0,1,0,1,0,0,0,3
without-plugin,low,4,without-plugin_low_4,exp(04:42:15)_fase3_low_iter1,aspire,3,1,1,0,0,1,0,0,3
without-plugin,low,4,without-plugin_low_4,exp(04:42:15)_fase3_low_iter1,leo,2,0,0,1,0,0,0,1,3
without-plugin,low,4,without-plugin_low_4,exp(04:42:15)_fase3_low_iter1,nitro5,0,0,0,0,0,0,0,0,7
without-plugin,low,4,without-plugin_low_4,exp(04:42:15)_fase3_low_iter1,scorpius,2,0,0,0,1,0,1,0,2
without-plugin,low,5,without-plugin_low_5,exp(04:49:08)_fase3_low_iter2,aspire,3,0,1,0,1,0,1,0,4
without-plugin,low,5,without-plugin_low_5,exp(04:49:08)_fase3_low_iter2,leo,2,1,0,0,0,0,0,1,2
without-plugin,low,5,without-plugin_low_5,exp(04:49:08)_fase3_low_iter2,nitro5,0,0,0,0,0,0,0,0,6
without-plugin,low,5,without-plugin_low_5,exp(04:49:08)_fase3_low_iter2,scorpius,2,0,0,1,0,1,0,0,3
without-plugin,low,6,without-plugin_low_6,exp(04:55:44)_fase3_low_iter3,aspire,3,1,1,0,0,1,0,0,3
without-plugin,low,6,without-plugin_low_6,exp(04:55:44)_fase3_low_iter3,leo,2,0,0,1,0,0,0,1,3
without-plugin,low,6,without-plugin_low_6,exp(04:55:44)_fase3_low_iter3,nitro5,0,0,0,0,0,0,0,0,7
without-plugin,low,6,without-plugin_low_6,exp(04:55:44)_fase3_low_iter3,scorpius,2,0,0,0,1,0,1,0,2
without-plugin,low,7,without-plugin_low_7,exp(06:04:53)_fase3_low_iter4,aspire,3,0,1,0,1,0,0,1,3
without-plugin,low,7,without-plugin_low_7,exp(06:04:53)_fase3_low_iter4,leo,2,0,0,1,0,0,1,0,3
without-plugin,low,7,without-plugin_low_7,exp(06:04:53)_fase3_low_iter4,nitro5,0,0,0,0,0,0,0,0,7
without-plugin,low,7,without-plugin_low_7,exp(06:04:53)_fase3_low_iter4,scorpius,2,1,0,0,0,1,0,0,2
without-plugin,low,8,without-plugin_low_8,exp(06:12:48)_fase3_low_iter5,aspire,3,0,0,1,0,1,1,0,2
without-plugin,low,8,without-plugin_low_8,exp(06:12:48)_fase3_low_iter5,leo,2,1,0,0,0,0,0,1,2
without-plugin,low,8,without-plugin_low_8,exp(06:12:48)_fase3_low_iter5,nitro5,0,0,0,0,0,0,0,0,8
without-plugin,low,8,without-plugin_low_8,exp(06:12:48)_fase3_low_iter5,scorpius,2,0,1,0,1,0,0,0,3
