Iteracion,Fecha,Namespace,Pod,Nodo
15,2026-01-16 01:41:06,default,teastore-persistence-784748b4b9-ptd5s,scorpius03
15,2026-01-16 01:41:06,default,teastore-recommender-74559c88-s57x7,luish-nitro-an515-57
15,2026-01-16 01:41:06,default,teastore-registry-676858f7cd-p5t2f,luish-nitro-an515-57
15,2026-01-16 01:41:06,default,teastore-webui-558b54cc77-xsghh,leo02
16,2026-01-16 01:41:14,default,teastore-auth-84d7ccddd9-wl94f,scorpius03
16,2026-01-16 01:41:14,default,teastore-db-84f96b9dd8-p547z,scorpius03
16,2026-01-16 01:41:14,default,teastore-image-79674648d-w9p7c,luish-aspire-a315-55g
16,2026-01-16 01:41:14,default,teastore-persistence-784748b4b9-ptd5s,scorpius03
16,2026-01-16 01:41:14,default,teastore-recommender-74559c88-s57x7,luish-nitro-an515-57
16,2026-01-16 01:41:14,default,teastore-registry-676858f7cd-xwff7,leo02
16,2026-01-16 01:41:14,default,teastore-webui-558b54cc77-xsghh,leo02
17,2026-01-16 01:41:23,default,teastore-auth-84d7ccddd9-wt77p,scorpius03
17,2026-01-16 01:41:23,default,teastore-db-84f96b9dd8-p547z,scorpius03
17,2026-01-16 01:41:23,default,teastore-image-79674648d-w9p7c,luish-aspire-a315-55g
17,2026-01-16 01:41:23,default,teastore-persistence-784748b4b9-s7rc9,leo02
17,2026-01-16 01:41:23,default,teastore-recommender-74559c88-s57x7,luish-nitro-an515-57
17,2026-01-16 01:41:23,default,teastore-registry-676858f7cd-xwff7,leo02
17,2026-01-16 01:41:23,default,teastore-webui-558b54cc77-xsghh,leo02
18,2026-01-16 01:41:32,default,teastore-auth-84d7ccddd9-wt77p,scorpius03
18,2026-01-16 01:41:32,default,teastore-db-84f96b9dd8-s4xmb,scorpius03
18,2026-01-16 01:41:32,default,teastore-image-79674648d-w9p7c,luish-aspire-a315-55g
18,2026-01-16 01:41:32,default,teastore-persistence-784748b4b9-s7rc9,leo02
18,2026-01-16 01:41:32,default,teastore-recommender-74559c88-v2fcm,scorpius03
18,2026-01-16 01:41:32,default,teastore-registry-676858f7cd-xwff7,leo02
18,2026-01-16 01:41:32,default,teastore-webui-558b54cc77-xsghh,leo02
19,2026-01-16 01:41:40,default,teastore-auth-84d7ccddd9-wt77p,scorpius03
19,2026-01-16 01:41:40,default,teastore-db-84f96b9dd8-z6h42,luish-aspire-a315-55g
19,2026-01-16 01:41:40,default,teastore-image-79674648d-w9p7c,luish-aspire-a315-55g
19,2026-01-16 01:41:40,default,teastore-persistence-784748b4b9-ww49p,luish-aspire-a315-55g
19,2026-01-16 01:41:40,default,teastore-recommender-74559c88-v2fcm,scorpius03
19,2026-01-16 01:41:40,default,teastore-registry-676858f7cd-zwkm9,luish-nitro-an515-57
19,2026-01-16 01:41:40,default,teastore-webui-558b54cc77-ttpbv,luish-aspire-a315-55g
20,2026-01-16 01:41:49,default,teastore-auth-84d7ccddd9-wt77p,scorpius03
20,2026-01-16 01:41:49,default,teastore-db-84f96b9dd8-z6h42,luish-aspire-a315-55g
20,2026-01-16 01:41:49,default,teastore-image-79674648d-s2fq2,luish-nitro-an515-57
20,2026-01-16 01:41:49,default,teastore-persistence-784748b4b9-ww49p,luish-aspire-a315-55g
20,2026-01-16 01:41:49,default,teastore-recommender-74559c88-v2fcm,scorpius03
20,2026-01-16 01:41:49,default,teastore-registry-676858f7cd-zwkm9,luish-nitro-an515-57
20,2026-01-16 01:41:49,default,teastore-webui-558b54cc77-ttpbv,luish-aspire-a315-55g
21,2026-01-16 01:41:58,default,teastore-auth-84d7ccddd9-wpnjt,luish-nitro-an515-57
21,2026-01-16 01:41:58,default,teastore-db-84f96b9dd8-z6h42,luish-aspire-a315-55g
21,2026-01-16 01:41:58,default,teastore-image-79674648d-tgr52,luish-aspire-a315-55g
21,2026-01-16 01:41:58,default,teastore-persistence-784748b4b9-ww49p,luish-aspire-a315-55g
21,2026-01-16 01:41:58,default,teastore-recommender-74559c88-v2fcm,scorpius03
21,2026-01-16 01:41:58,default,teastore-registry-676858f7cd-zwkm9,luish-nitro-an515-57
21,2026-01-16 01:41:58,default,teastore-webui-558b54cc77-qg67h,scorpius03
22,2026-01-16 01:42:06,default,teastore-auth-84d7ccddd9-wpnjt,luish-nitro-an515-57
22,2026-01-16 01:42:06,default,teastore-db-84f96b9dd8-z6h42,luish-aspire-a315-55g
22,2026-01-16 01:42:06,default,teastore-image-79674648d-tgr52,luish-aspire-a315-55g
22,2026-01-16 01:42:06,default,teastore-persistence-784748b4b9-ww49p,luish-aspire-a315-55g
22,2026-01-16 01:42:06,default,teastore-recommender-74559c88-kprd4,luish-nitro-an515-57
22,2026-01-16 01:42:06,default,teastore-registry-676858f7cd-zwkm9,luish-nitro-an515-57
22,2026-01-16 01:42:06,default,teastore-webui-558b54cc77-qs4pz,luish-aspire-a315-55g
23,2026-01-16 01:42:15,default,teastore-auth-84d7ccddd9-w8c42,luish-nitro-an515-57
23,2026-01-16 01:42:15,default,teastore-db-84f96b9dd8-z6h42,luish-aspire-a315-55g
23,2026-01-16 01:42:15,default,teastore-image-79674648d-tgr52,luish-aspire-a315-55g
23,2026-01-16 01:42:15,default,teastore-persistence-784748b4b9-ww49p,luish-aspire-a315-55g
23,2026-01-16 01:42:15,default,teastore-recommender-74559c88-kprd4,luish-nitro-an515-57
23,2026-01-16 01:42:15,default,teastore-registry-676858f7cd-mmxtn,leo02
23,2026-01-16 01:42:15,default,teastore-webui-558b54cc77-qs4pz,luish-aspire-a315-55g
24,2026-01-16 01:42:23,default,teastore-auth-84d7ccddd9-v7kz8,luish-aspire-a315-55g
24,2026-01-16 01:42:23,default,teastore-db-84f96b9dd8-ql5nc,leo02
24,2026-01-16 01:42:23,default,teastore-image-79674648d-tgr52,luish-aspire-a315-55g
24,2026-01-16 01:42:23,default,teastore-persistence-784748b4b9-qp727,scorpius03
24,2026-01-16 01:42:23,default,teastore-recommender-74559c88-kprd4,luish-nitro-an515-57
24,2026-01-16 01:42:23,default,teastore-registry-676858f7cd-zfc75,leo02
24,2026-01-16 01:42:23,default,teastore-webui-558b54cc77-qs4pz,luish-aspire-a315-55g
25,2026-01-16 01:42:32,default,teastore-auth-84d7ccddd9-v7kz8,luish-aspire-a315-55g
25,2026-01-16 01:42:32,default,teastore-db-84f96b9dd8-ql5nc,leo02
25,2026-01-16 01:42:32,default,teastore-image-79674648d-vrlgz,luish-nitro-an515-57
25,2026-01-16 01:42:32,default,teastore-persistence-784748b4b9-qld82,scorpius03
25,2026-01-16 01:42:32,default,teastore-recommender-74559c88-n9dwv,luish-nitro-an515-57
25,2026-01-16 01:42:32,default,teastore-registry-676858f7cd-zfc75,leo02
25,2026-01-16 01:42:32,default,teastore-webui-558b54cc77-qs4pz,luish-aspire-a315-55g
26,2026-01-16 01:42:41,default,teastore-auth-84d7ccddd9-v7kz8,luish-aspire-a315-55g
26,2026-01-16 01:42:41,default,teastore-db-84f96b9dd8-pnk29,luish-nitro-an515-57
26,2026-01-16 01:42:41,default,teastore-image-79674648d-vrlgz,luish-nitro-an515-57
26,2026-01-16 01:42:41,default,teastore-persistence-784748b4b9-clcj4,luish-nitro-an515-57
26,2026-01-16 01:42:41,default,teastore-recommender-74559c88-stfms,scorpius03
26,2026-01-16 01:42:41,default,teastore-registry-676858f7cd-zfc75,leo02
26,2026-01-16 01:42:41,default,teastore-webui-558b54cc77-qs4pz,luish-aspire-a315-55g
27,2026-01-16 01:42:50,default,teastore-auth-84d7ccddd9-v7kz8,luish-aspire-a315-55g
27,2026-01-16 01:42:50,default,teastore-db-84f96b9dd8-pnk29,luish-nitro-an515-57
27,2026-01-16 01:42:50,default,teastore-image-79674648d-vrlgz,luish-nitro-an515-57
27,2026-01-16 01:42:50,default,teastore-persistence-784748b4b9-vb5dm,luish-aspire-a315-55g
27,2026-01-16 01:42:50,default,teastore-recommender-74559c88-stfms,scorpius03
27,2026-01-16 01:42:50,default,teastore-registry-676858f7cd-zfc75,leo02
27,2026-01-16 01:42:50,default,teastore-webui-558b54cc77-m28dk,scorpius03
28,2026-01-16 01:42:59,default,teastore-auth-84d7ccddd9-r97x2,luish-nitro-an515-57
28,2026-01-16 01:42:59,default,teastore-db-84f96b9dd8-cqbft,scorpius03
28,2026-01-16 01:42:59,default,teastore-image-79674648d-vrlgz,luish-nitro-an515-57
28,2026-01-16 01:42:59,default,teastore-persistence-784748b4b9-vb5dm,luish-aspire-a315-55g
